"","sample.ID","seq.ID","abundance","fill_col"
"303","AU18_0319","2184426_D",12,"2184426_D"
"304","AU18_0747","D17e",12,"D17e"
"305","AU18_1121","21025_C",12,"21025_C"
"306","AU18_1121","2043_C",12,"2043_C"
"307","AU18_0281","2174376_C",12,"2174376_C"
"308","AU18_0281","103687_C",12,"103687_C"
"309","AU18_neg12","C1ns",12,"C1ns"
"310","AU18_neg12","C42e",12,"C42e"
"311","AU18_neg12","33296_C",12,"33296_C"
"312","AU18_neg12","1670517_C",12,"1670517_C"
"313","AU18_0696","1626916_C",13,"1626916_C"
"314","AU18_0696","21025_C",13,"21025_C"
"315","AU18_0456","C3dw",13,"C3dw"
"316","AU18_0432","1630513_C",13,"1630513_C"
"317","AU18_0685","C1",13,"C1"
"318","AU18_0260","1642017_C",13,"1642017_C"
"319","AU18_0108","1630543_C",13,"1630543_C"
"320","AU18_0108","1645678_C",13,"1645678_C"
"321","AU18_0108","1611789_C",13,"1611789_C"
"322","AU18_0876","2175598_D",13,"2175598_D"
"323","AU18_1010","D17d",13,"D17d"
"324","AU18_0064","2783544_C",13,"2783544_C"
"325","AU18_0067","47106_C",13,"47106_C"
"326","AU18_0067","2783544_C",13,"2783544_C"
"327","AU18_0748","C22ah",13,"C22ah"
"328","AU18_0744","1626916_C",13,"1626916_C"
"329","AU18_0744","2885795_C",13,"2885795_C"
"330","AU18_0744","D17d",13,"D17d"
"331","AU18_0744","D17j",13,"D17j"
"332","AU18_1122","2885803_C",13,"2885803_C"
"333","AU18_1041","1630543_C",13,"1630543_C"
"334","AU18_1041","C78c",13,"C78c"
"335","AU18_1041","1242406_D",13,"1242406_D"
"336","AU18_0170","2885788_C",13,"2885788_C"
"337","AU18_0170","1612135_C",13,"1612135_C"
"338","AU18_0170","2885789_C",13,"2885789_C"
"339","AU18_0747","D2.2",13,"D2.2"
"340","AU18_0747","D17d",13,"D17d"
"341","AU18_1121","2282558_C",13,"2282558_C"
"342","AU18_0586","C50a",13,"C50a"
"343","AU18_neg12","C1ci",13,"C1ci"
"344","AU18_neg12","2779405_C",13,"2779405_C"
"345","AU18_neg12","1770278_C",13,"1770278_C"
"346","AU18_0432","C21",14,"C21"
"347","AU18_0702","1626916_C",14,"1626916_C"
"348","AU18_0685","1670084_C",14,"1670084_C"
"349","AU18_0256","1630543_C",14,"1630543_C"
"350","AU18_0485","C79",14,"C79"
"351","AU18_0895","D1id",14,"D1id"
"352","AU18_0599","1351_C",14,"1351_C"
"353","AU18_0599","D17c",14,"D17c"
"354","AU18_0064","44745_C",14,"44745_C"
"355","AU18_0064","2783442_C",14,"2783442_C"
"356","AU18_0744","C1",14,"C1"
"357","AU18_0744","53111_D",14,"53111_D"
"358","AU18_0248","2885747_C",14,"2885747_C"
"359","AU18_1125","1670084_C",14,"1670084_C"
"360","AU18_1041","2174376_C",14,"2174376_C"
"361","AU18_0065","C39ab",14,"C39ab"
"362","AU18_0065","2595310_C",14,"2595310_C"
"363","AU18_0065","1428436_C",14,"1428436_C"
"364","AU18_0170","2885733_C",14,"2885733_C"
"365","AU18_0170","C3t",14,"C3t"
"366","AU18_1121","2282561_C",14,"2282561_C"
"367","AU18_0586","C72k",14,"C72k"
"368","AU18_0281","1147954_C",14,"1147954_C"
"369","AU18_0281","2885798_C",14,"2885798_C"
"370","AU18_neg12","C22ad",14,"C22ad"
"371","AU18_neg12","C40ap",14,"C40ap"
"372","AU18_0456","1670084_C",15,"1670084_C"
"373","AU18_0460","1626916_C",15,"1626916_C"
"374","AU18_0432","1612485_C",15,"1612485_C"
"375","AU18_1129","1626916_C",15,"1626916_C"
"376","AU18_0332","1611788_C",15,"1611788_C"
"377","AU18_0260","1622915_C",15,"1622915_C"
"378","AU18_0257","C3xe",15,"C3xe"
"379","AU18_0485","C8",15,"C8"
"380","AU18_0895","7488_D",15,"7488_D"
"381","AU18_0876","2282560_C",15,"2282560_C"
"382","AU18_0876","D17d",15,"D17d"
"383","AU18_0599","2174376_C",15,"2174376_C"
"384","AU18_0599","1611789_C",15,"1611789_C"
"385","AU18_1111","1630270_C",15,"1630270_C"
"386","AU18_1010","1680592_C",15,"1680592_C"
"387","AU18_0071","278761_C",15,"278761_C"
"388","AU18_0064","47106_C",15,"47106_C"
"389","AU18_0064","47105_C",15,"47105_C"
"390","AU18_0067","278761_C",15,"278761_C"
"391","AU18_0744","2282560_C",15,"2282560_C"
"392","AU18_0248","1630543_C",15,"1630543_C"
"393","AU18_0248","1670426_C",15,"1670426_C"
"394","AU18_1125","2174376_C",15,"2174376_C"
"395","AU18_0220","D1dm",15,"D1dm"
"396","AU18_1121","2282560_C",15,"2282560_C"
"397","AU18_0281","1148411_C",15,"1148411_C"
"398","AU18_0281","C1id",15,"C1id"
"399","AU18_neg12","2239316_C",15,"2239316_C"
"400","AU18_0112","C3",15,"C3"
"401","AU18_0112","1328437_C",15,"1328437_C"
"402","AU18_0456","C21",16,"C21"
"403","AU18_0742","1626916_C",16,"1626916_C"
"404","AU18_0702","1630543_C",16,"1630543_C"
"405","AU18_0686","333087_C",16,"333087_C"
"406","AU18_0257","1626916_C",16,"1626916_C"
"407","AU18_0257","2786619_C",16,"2786619_C"
"408","AU18_0895","281318_D",16,"281318_D"
"409","AU18_0876","1611789_C",16,"1611789_C"
"410","AU18_0599","21025_C",16,"21025_C"
"411","AU18_0599","D2a",16,"D2a"
"412","AU18_1010","D10",16,"D10"
"413","AU18_0068","2885766_C",16,"2885766_C"
"414","AU18_0068","C1lh",16,"C1lh"
"415","AU18_0067","766366_C",16,"766366_C"
"416","AU18_0744","2885743_D",16,"2885743_D"
"417","AU18_0248","1670755_C",16,"1670755_C"
"418","AU18_1041","37253_C",16,"37253_C"
"419","AU18_0170","1669691_C",16,"1669691_C"
"420","AU18_1121","1170996_D",16,"1170996_D"
"421","AU18_1121","6624_D",16,"6624_D"
"422","AU18_1121","D1ih",16,"D1ih"
"423","AU18_0586","C50t",16,"C50t"
"424","AU18_0281","1634089_C",16,"1634089_C"
"425","AU18_neg12","C1b",16,"C1b"
"426","AU18_neg12","C78",16,"C78"
"427","AU18_0456","1630513_C",17,"1630513_C"
"428","AU18_0596","21025_C",17,"21025_C"
"429","AU18_0459","2174376_C",17,"2174376_C"
"430","AU18_0967","42219_C",17,"42219_C"
"431","AU18_1124","42219_C",17,"42219_C"
"432","AU18_0260","1630543_C",17,"1630543_C"
"433","AU18_0108","C21",17,"C21"
"434","AU18_0257","C1b",17,"C1b"
"435","AU18_0257","1670426_C",17,"1670426_C"
"436","AU18_0257","1642017_C",17,"1642017_C"
"437","AU18_0485","C54l",17,"C54l"
"438","AU18_0895","1147954_C",17,"1147954_C"
"439","AU18_0876","D17j",17,"D17j"
"440","AU18_0876","D2c",17,"D2c"
"441","AU18_0599","D2j",17,"D2j"
"442","AU18_1010","C72k",17,"C72k"
"443","AU18_0071","107479_C",17,"107479_C"
"444","AU18_0068","C42ao",17,"C42ao"
"445","AU18_0068","17505_C",17,"17505_C"
"446","AU18_0068","46331_C",17,"46331_C"
"447","AU18_0744","1612485_C",17,"1612485_C"
"448","AU18_0248","2282558_C",17,"2282558_C"
"449","AU18_1122","C1b",17,"C1b"
"450","AU18_0220","25566_D",17,"25566_D"
"451","AU18_1121","D1dm",17,"D1dm"
"452","AU18_0112","C1ab",17,"C1ab"
"453","AU18_0072","42216_C",17,"42216_C"
"454","AU18_0456","1612485_C",18,"1612485_C"
"455","AU18_0596","1630543_C",18,"1630543_C"
"456","AU18_0742","1670084_C",18,"1670084_C"
"457","AU18_0460","1630513_C",18,"1630513_C"
"458","AU18_0432","1622915_C",18,"1622915_C"
"459","AU18_0702","2885790_C",18,"2885790_C"
"460","AU18_0685","2174376_C",18,"2174376_C"
"461","AU18_0256","1148411_C",18,"1148411_C"
"462","AU18_0256","1622915_C",18,"1622915_C"
"463","AU18_0876","C1",18,"C1"
"464","AU18_0071","C1ab",18,"C1ab"
"465","AU18_0071","C1by",18,"C1by"
"466","AU18_0237","2885748_C",18,"2885748_C"
"467","AU18_0064","C3mk",18,"C3mk"
"468","AU18_0068","2783442_C",18,"2783442_C"
"469","AU18_0068","150940_C",18,"150940_C"
"470","AU18_0067","1031429_C",18,"1031429_C"
"471","AU18_0748","2282560_C",18,"2282560_C"
"472","AU18_1125","21025_C",18,"21025_C"
"473","AU18_1125","1653201_C",18,"1653201_C"
"474","AU18_1041","1626350_C",18,"1626350_C"
"475","AU18_1041","D17e",18,"D17e"
"476","AU18_0113","1398203_C",18,"1398203_C"
"477","AU18_1121","1645825_C",18,"1645825_C"
"478","AU18_0586","47056_C",18,"47056_C"
"479","AU18_0632","C1bh",18,"C1bh"
"480","AU18_neg12","2175409_C",18,"2175409_C"
"481","AU18_neg12","C35.3",18,"C35.3"
"482","AU18_neg12","2175451_C",18,"2175451_C"
"483","AU18_0112","93790_C",18,"93790_C"
"484","AU18_0072","C3xf",18,"C3xf"
"485","AU18_0072","333087_C",18,"333087_C"
"486","AU18_0072","1428436_C",18,"1428436_C"
"487","AU18_0696","1653201_C",19,"1653201_C"
"488","AU18_1129","1670084_C",19,"1670084_C"
"489","AU18_0686","21025_C",19,"21025_C"
"490","AU18_0876","1612485_C",19,"1612485_C"
"491","AU18_0876","D17e",19,"D17e"
"492","AU18_1111","1612485_C",19,"1612485_C"
"493","AU18_0237","278761_C",19,"278761_C"
"494","AU18_0064","1031429_C",19,"1031429_C"
"495","AU18_0064","C42ao",19,"C42ao"
"496","AU18_0748","10179_D",19,"10179_D"
"497","AU18_0163","103346_C",19,"103346_C"
"498","AU18_0281","C1ab",19,"C1ab"
"499","AU18_0281","C3od",19,"C3od"
"500","AU18_0632","2885770_C",19,"2885770_C"
"501","AU18_neg12","2239310_C",19,"2239310_C"
"502","AU18_0482","2174376_C",20,"2174376_C"
"503","AU18_0456","1630543_C",20,"1630543_C"
"504","AU18_0742","1630543_C",20,"1630543_C"
"505","AU18_0742","1612485_C",20,"1612485_C"
"506","AU18_0460","1670084_C",20,"1670084_C"
"507","AU18_0432","1630543_C",20,"1630543_C"
"508","AU18_0459","37253_C",20,"37253_C"
"509","AU18_0459","1626916_C",20,"1626916_C"
"510","AU18_0964","21025_C",20,"21025_C"
"511","AU18_0964","1351_C",20,"1351_C"
"512","AU18_0685","1626916_C",20,"1626916_C"
"513","AU18_0256","37253_C",20,"37253_C"
"514","AU18_0108","1148411_C",20,"1148411_C"
"515","AU18_0108","37253_C",20,"37253_C"
"516","AU18_0895","1626916_C",20,"1626916_C"
"517","AU18_0895","D2.2",20,"D2.2"
"518","AU18_0064","C120b",20,"C120b"
"519","AU18_0068","92851_C",20,"92851_C"
"520","AU18_0068","48654_C",20,"48654_C"
