"","sample.ID","seq.ID","abundance","cumulative_abundance","total_abundance","cumulative_percentage","fill_col","sample_uid","host_genus","host_species","collection_longitude","collection_latitude","facet_column"
"109","AU18_0113","C22ad",5,9,1139,0.00790166812993854,"C22ad","158718","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"110","AU18_0113","C3ed",5,14,1139,0.0122914837576822,"C3ed","158718","Turbinaria","Turbinaria_mesenterina",153.38793,-29.92353,"a"
"111","AU18_0234","C1b",5,9,802,0.0112219451371571,"C1b","158732","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"a"
"112","AU18_0234","1624473_C",5,14,802,0.0174563591022444,"1624473_C","158732","Turbinaria","Turbinaria_mesenterina",153.26942,-30.01767,"a"
"113","AU18_0319","764365_D",5,25,7529,0.00332049408952052,"764365_D","158748","Turbinaria","Turbinaria_mesenterina",153.62861,-28.60497,"a"
"114","AU18_0747","D17c",5,13,8322,0.00156212448930546,"D17c","158804","Turbinaria","Turbinaria_reniformis",151.929,-23.43327,"a"
"115","AU18_0747","10616_D",5,18,8322,0.00216294160057678,"10616_D","158804","Turbinaria","Turbinaria_reniformis",151.929,-23.43327,"a"
"116","AU18_0242","1628745_C",5,21,979,0.0214504596527068,"1628745_C","158735","Turbinaria","Turbinaria_patula",153.26519,-30.20489,"a"
"117","AU18_0390","C41z",5,33,760,0.043421052631579,"C41z","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"118","AU18_0390","C116bu",5,38,760,0.05,"C116bu","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"119","AU18_0390","4695_C",5,43,760,0.056578947368421,"4695_C","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"120","AU18_0390","G3a",5,48,760,0.0631578947368421,"G3a","158756","Turbinaria","Turbinaria_frondens",153.55168,-27.39137,"a"
"121","AU18_neg12","C54m",5,5,1256,0.00398089171974522,"C54m","158855","NoData","NoData",999,999,"a"
"122","AU18_neg12","870369_C",5,10,1256,0.00796178343949045,"870369_C","158855","NoData","NoData",999,999,"a"
"123","AU18_neg12","8017_C",5,15,1256,0.0119426751592357,"8017_C","158855","NoData","NoData",999,999,"a"
"124","AU18_neg12","791026_C",5,20,1256,0.0159235668789809,"791026_C","158855","NoData","NoData",999,999,"a"
"125","AU18_neg12","2885783_C",5,25,1256,0.0199044585987261,"2885783_C","158855","NoData","NoData",999,999,"a"
"126","AU18_neg12","2315062_C",5,30,1256,0.0238853503184713,"2315062_C","158855","NoData","NoData",999,999,"a"
"127","AU18_neg12","2175452_C",5,35,1256,0.0278662420382166,"2175452_C","158855","NoData","NoData",999,999,"a"
"128","AU18_neg12","2175407_C",5,40,1256,0.0318471337579618,"2175407_C","158855","NoData","NoData",999,999,"a"
"129","AU18_neg12","1714031_C",5,45,1256,0.035828025477707,"1714031_C","158855","NoData","NoData",999,999,"a"
"130","AU18_neg12","1703694_C",5,50,1256,0.0398089171974522,"1703694_C","158855","NoData","NoData",999,999,"a"
